bri,mired,watt
101,323,7.87
101,333,7.8
101,343,7.83
101,353,7.83
101,363,7.79
101,370,7.79
106,153,8.15
106,163,8.17
106,173,8.15
106,183,8.19
106,193,8.19
106,203,8.13
106,213,8.14
106,223,8.18
106,233,8.19
106,243,8.16
106,253,8.16
106,263,8.16
106,273,8.16
106,283,8.17
106,293,8.18
106,303,8.16
106,313,8.17
106,323,8.15
106,333,8.17
106,343,8.19
106,353,8.17
106,363,8.16
106,370,8.16
111,153,8.46
111,163,8.46
111,173,8.46
111,183,8.46
111,193,8.47
111,203,8.45
111,213,8.47
111,223,8.45
111,233,8.46
111,243,8.47
111,253,8.45
111,263,8.49
111,273,8.46
111,283,8.52
111,293,8.48
111,303,8.46
111,313,8.44
111,323,8.46
111,333,8.49
111,343,8.5
111,353,8.47
111,363,8.47
111,370,8.47
116,153,8.77
116,163,8.77
116,173,8.75
116,183,8.73
116,193,8.79
116,203,8.75
116,213,8.74
116,223,8.78
116,233,8.79
116,243,8.78
116,253,8.75
116,263,8.77
116,273,8.82
116,283,8.77
116,293,8.77
116,303,8.79
116,313,8.76
116,323,8.78
116,333,8.79
116,343,8.79
116,353,8.79
116,363,8.78
116,370,8.76
121,153,9.05
121,163,9.03
121,173,9.11
121,183,9.1
121,193,9.08
121,203,9.05
121,213,9.07
121,223,9.06
121,233,9.08
121,243,9.08
121,253,9.12
121,263,9.08
121,273,9.09
121,283,9.06
121,293,9.11
121,303,9.09
121,313,9.1
121,323,9.09
121,333,9.1
121,343,9.1
121,353,9.1
121,363,9.09
121,370,9.08
126,153,9.34
126,163,9.36
126,173,9.35
126,183,9.38
126,193,9.39
126,203,9.36
126,213,9.36
126,223,9.38
126,233,9.42
126,243,9.43
126,253,9.34
126,263,9.38
126,273,9.37
126,283,9.38
126,293,9.39
126,303,9.37
126,313,9.38
126,323,9.37
126,333,9.39
126,343,9.38
126,353,9.38
126,363,9.37
126,370,9.37
131,153,9.68
131,163,9.67
131,173,9.66
131,183,9.66
131,193,9.69
131,203,9.68
131,213,9.7
131,223,9.68
131,233,9.66
131,243,9.68
131,253,9.69
131,263,9.71
131,273,9.73
131,283,9.74
131,293,9.65
131,303,9.67
131,313,9.72
131,323,9.7
131,333,9.68
131,343,9.68
131,353,9.67
131,363,9.67
131,370,9.69
136,153,9.97
136,163,9.95
136,173,9.98
136,183,10.0
136,193,9.99
136,203,9.95
136,213,9.97
136,223,9.99
136,233,10.01
136,243,9.99
136,253,9.95
136,263,9.98
136,273,9.98
136,283,9.96
136,293,9.96
136,303,10.01
136,313,9.97
136,323,9.97
136,333,10.02
136,343,10.0
136,353,10.01
136,363,9.99
136,370,9.98
141,153,10.31
141,163,10.32
141,173,10.31
141,183,10.29
141,193,10.32
141,203,10.34
141,213,10.3
141,223,10.3
141,233,10.34
141,243,10.32
141,253,10.3
141,263,10.3
141,273,10.31
141,283,10.32
141,293,10.31
141,303,10.33
141,313,10.3
141,323,10.31
141,333,10.33
141,343,10.31
141,353,10.36
141,363,10.37
141,370,10.33
146,153,10.59
146,163,10.62
146,173,10.62
146,183,10.62
146,193,10.62
146,203,10.63
146,213,10.66
146,223,10.62
146,233,10.63
146,243,10.63
146,253,10.62
146,263,10.63
146,273,10.64
146,283,10.63
146,293,10.62
146,303,10.63
146,313,10.63
146,323,10.67
146,333,10.64
146,343,10.63
146,353,10.62
146,363,10.64
146,370,10.64
151,153,10.94
151,163,10.95
151,173,10.92
151,183,10.92
151,193,10.95
151,203,10.93
151,213,10.95
151,223,10.95
151,233,10.96
151,243,10.96
151,253,10.93
151,263,10.96
151,273,10.94
151,283,10.95
151,293,10.98
151,303,10.96
151,313,10.94
151,323,10.95
151,333,10.94
151,343,10.94
151,353,10.95
151,363,10.93
151,370,10.93
156,153,11.22
156,163,11.24
156,173,11.26
156,183,11.24
156,193,11.24
156,203,11.24
156,213,11.24
156,223,11.23
156,233,11.23
156,243,11.25
156,253,11.25
156,263,11.22
156,273,11.23
156,283,11.3
156,293,11.21
156,303,11.25
156,313,11.27
156,323,11.23
156,333,11.26
156,343,11.28
156,353,11.24
156,363,11.26
156,370,11.22
161,153,11.54
161,163,11.49
161,173,11.51
161,183,11.53
161,193,11.5
161,203,11.57
161,213,11.54
161,223,11.57
161,233,11.55
161,243,11.59
161,253,11.55
161,263,11.54
161,273,11.55
161,283,11.59
161,293,11.54
161,303,11.53
161,313,11.59
161,323,11.55
161,333,11.54
161,343,11.54
161,353,11.53
161,363,11.56
161,370,11.55
166,153,11.84
166,163,11.9
166,173,11.88
166,183,11.85
166,193,11.86
166,203,11.83
166,213,11.85
166,223,11.86
166,233,11.87
166,243,11.87
166,253,11.91
166,263,11.88
166,273,11.86
166,283,11.85
166,293,11.86
166,303,11.85
166,313,11.85
166,323,11.86
166,333,11.87
166,343,11.85
166,353,11.87
166,363,11.88
166,370,11.83
171,153,12.19
171,163,12.16
171,173,12.2
171,183,12.19
171,193,12.19
171,203,12.17
171,213,12.16
171,223,12.2
171,233,12.18
171,243,12.21
171,253,12.19
171,263,12.2
171,273,12.19
171,283,12.21
171,293,12.2
171,303,12.24
171,313,12.17
171,323,12.21
171,333,12.19
171,343,12.21
171,353,12.19
171,363,12.17
171,370,12.15
176,153,12.51
176,163,12.48
176,173,12.45
176,183,12.48
176,193,12.47
176,203,12.47
176,213,12.48
176,223,12.47
176,233,12.45
176,243,12.48
176,253,12.49
176,263,12.5
176,273,12.51
176,283,12.54
176,293,12.49
176,303,12.49
176,313,12.5
176,323,12.51
176,333,12.46
176,343,12.46
176,353,12.47
176,363,12.48
176,370,12.46
181,153,12.79
181,163,12.77
181,173,12.77
181,183,12.81
181,193,12.75
181,203,12.8
181,213,12.77
181,223,12.83
181,233,12.8
181,243,12.8
181,253,12.83
181,263,12.82
181,273,12.8
181,283,12.82
181,293,12.79
181,303,12.78
181,313,12.81
181,323,12.8
181,333,12.8
181,343,12.75
181,353,12.79
181,363,12.75
181,370,12.77
186,153,13.08
186,163,13.1
186,173,13.09
186,183,13.09
186,193,13.12
186,203,13.11
186,213,13.12
186,223,13.14
186,233,13.08
186,243,13.08
186,253,13.1
186,263,13.09
186,273,13.12
186,283,13.13
186,293,13.1
186,303,13.11
186,313,13.1
186,323,13.13
186,333,13.15
186,343,13.13
186,353,13.12
186,363,13.07
186,370,13.08
191,153,13.41
191,163,13.43
191,173,13.44
191,183,13.42
191,193,13.44
191,203,13.42
191,213,13.44
191,223,13.44
191,233,13.46
191,243,13.43
